Title,Status
X-ray micro-tomography datasets of mixed-wet carbonate reservoir rocks for in situ effective contact angle measurements,Accepted
X-ray CMT images of abiotic carbonate precipitation in porous media from a supersaturated solution,Accepted
Wilcox Tight Gas Sandstone,Accepted
Water-wet three-phase flow micro-CT tomograms,Accepted
Vaca Muerta FIB-SEM,Accepted
Unpaired super-resolution on micro-CT sandstone by using cycle-consistent generative adversarial network,Accepted
Uniform quartz - Silver nanoparticle injection experiment,Accepted
Unconsolidated muds from the Nankai Trough,Accepted
Two-Fluid Micromodel Experiments,Accepted
Triaxial Direct-Shear In Situ Microtomography,Accepted
Three-phase drainage-imbibition cycle (Nov 2012),Accepted
Texturally Equilibrated Pore Networks,Accepted
Targeted CT: Predictive Digital Rock Physics Models Without Segmentation,Accepted
Surface structure of Ketton rock,Accepted
"Supercritical CO2 - Brine Primary Drainages (40-60C, 8-12 MPa)",Accepted
Stress Sensitivity of Fractured and Vuggy Carbonate,Accepted
Statistically Generated Medium,Accepted
Stalagmite ML-1 NCT and XCT scanning,Accepted
Spontaneous Imbibition,Accepted
Sheared coal sample,Accepted
Sessile Drop and Micro-CT Data for Six Sandstone Formations,Accepted
Savonnières carbonate,Accepted
Saturated solute transport micro-CT dataset in sintered glass and Bentheimer sandstone,Accepted
Saturated solute transport micro-CT dataset in Savonnières limestone,Accepted
Residual CO2 trapping in oil-wet sandstone,Accepted
Residual air in air/brine systems,Accepted
Raw micro-CT data of solute transport in porous media,Accepted
Rapid mineral precipitation during shear fracturing of carbonate-rich shale: Supporting xCT data,Accepted
Quasi-equilibrium air-water drainage and imbibition X-ray microtomography experiments in glass bead packs followed by one-step experiments at varying flow rates,Accepted
Pore-scale imaging of multiphase flow at steady state for a mixed-wet Bentheimer sandstone,Accepted
Pore-scale imaging of multiphase flow at steady state for a Bentheimer sandstone,Accepted
Pore-scale images of trapped immiscible fluid structures in oil-wet and water-wet bead packs,Accepted
Pore-scale study of water adsorption and subsequent methane transport in clay in the presence of wettability heterogeneity,Accepted
Pore-scale multiphase flow experiments in bead packs of variable wettability,Accepted
